X	Y	Z	T
296306.690	2779291.423	2.020	41782.41030461
296306.399	2779292.150	2.030	41782.41031618
296306.102	2779292.882	2.030	41782.41032775
296305.805	2779293.613	2.020	41782.41033933
296305.547	2779294.353	2.040	41782.41035090
296305.254	2779295.103	2.030	41782.41036248
296304.983	2779295.832	2.020	41782.41037405
296304.661	2779296.589	2.020	41782.41038563
296304.346	2779297.329	2.040	41782.41039720
296304.055	2779298.085	1.540	41782.41040877
296303.757	2779298.838	-0.010	41782.41042035
296303.472	2779299.580	1.550	41782.41043192
296303.167	2779300.343	2.030	41782.41044350
296302.839	2779301.085	2.040	41782.41045507
296302.525	2779301.840	2.040	41782.41046664
296302.215	2779302.601	2.040	41782.41047822
296301.901	2779303.362	1.500	41782.41048979
296301.577	2779304.127	2.060	41782.41050137
296301.252	2779304.879	0.010	41782.41051294
296300.925	2779305.629	2.080	41782.41052451
296300.591	2779306.372	1.530	41782.41053609
296300.273	2779307.136	1.520	41782.41054766
296299.971	2779307.892	2.060	41782.41055924
296299.640	2779308.646	2.070	41782.41057081
296299.308	2779309.375	2.040	41782.41058238
296298.936	2779310.132	2.070	41782.41059396
296298.613	2779310.885	2.060	41782.41060553
296298.264	2779311.673	2.070	41782.41061711
296297.936	2779312.428	1.530	41782.41062868
296297.601	2779313.183	1.510	41782.41064025
296297.248	2779313.947	2.030	41782.41065183
296296.886	2779314.718	1.500	41782.41066340
296296.532	2779315.484	2.040	41782.41067498
296296.187	2779316.256	0.010	41782.41068655
296295.495	2779317.790	2.020	41782.41070970
296295.099	2779318.552	2.050	41782.41072127
296294.738	2779319.320	2.040	41782.41073285
296294.369	2779320.105	2.010	41782.41074442
296294.008	2779320.888	2.000	41782.41075600
296293.641	2779321.679	2.000	41782.41076757
296293.285	2779322.475	1.980	41782.41077914
296292.918	2779323.269	1.980	41782.41079072
296292.545	2779324.071	2.000	41782.41080229
296292.175	2779324.849	1.990	41782.41081387
296291.806	2779325.632	1.990	41782.41082544
296291.441	2779326.421	2.070	41782.41083701
296291.077	2779327.214	2.260	41782.41084859
296290.734	2779328.000	1.500	41782.41086016
296289.591	2779330.379	-0.010	41782.41089488
296288.850	2779332.024	2.850	41782.41091803
296288.468	2779332.849	3.010	41782.41092961
296288.103	2779333.662	3.070	41782.41094118
296287.715	2779334.482	3.090	41782.41095275
296287.335	2779335.281	3.090	41782.41096433
296286.953	2779336.081	3.080	41782.41097590
296286.556	2779336.896	3.080	41782.41098748
296286.180	2779337.702	3.080	41782.41099905
296285.791	2779338.549	3.090	41782.41101063
296285.410	2779339.381	3.090	41782.41102220
296285.023	2779340.209	3.080	41782.41103377
296284.633	2779341.034	3.080	41782.41104535
296284.262	2779341.848	2.710	41782.41105692
296283.879	2779342.682	3.080	41782.41106850
296283.491	2779343.508	3.090	41782.41108007
296283.100	2779344.329	3.090	41782.41109164
296282.711	2779345.166	3.080	41782.41110322
296282.341	2779346.001	2.520	41782.41111479
296281.964	2779346.838	2.680	41782.41112637
296281.588	2779347.658	3.100	41782.41113794
296281.213	2779348.490	3.080	41782.41114951
296280.847	2779349.324	-0.010	41782.41116109
296280.486	2779350.155	3.130	41782.41117266
296280.115	2779350.998	3.080	41782.41118424
296279.745	2779351.823	3.040	41782.41119581
296279.369	2779352.656	3.130	41782.41120738
296279.014	2779353.467	3.050	41782.41121896
296278.654	2779354.285	3.050	41782.41123053
296278.287	2779355.111	3.040	41782.41124211
296277.923	2779355.941	3.050	41782.41125368
296277.553	2779356.778	3.040	41782.41126525
296277.181	2779357.590	3.050	41782.41127683
296276.812	2779358.411	3.040	41782.41128840
296276.438	2779359.242	3.040	41782.41129998
296276.084	2779360.062	3.040	41782.41131155
296275.712	2779360.908	3.070	41782.41132313
296275.360	2779361.727	3.050	41782.41133470
296274.982	2779362.572	3.030	41782.41134627
296274.590	2779363.413	3.040	41782.41135785
296274.233	2779364.235	3.040	41782.41136942
296273.851	2779365.104	3.060	41782.41138100
296273.494	2779365.940	3.040	41782.41139257
296273.113	2779366.792	3.050	41782.41140414
296272.736	2779367.624	3.050	41782.41141572
296272.370	2779368.450	3.050	41782.41142729
296271.985	2779369.294	3.050	41782.41143887
296271.624	2779370.128	3.050	41782.41145044
296271.251	2779370.973	3.060	41782.41146201
296270.877	2779371.829	3.040	41782.41147359
296270.519	2779372.650	2.950	41782.41148516
296270.129	2779373.505	3.040	41782.41149674
296269.760	2779374.333	3.020	41782.41150831
296269.379	2779375.191	3.020	41782.41151988
296269.008	2779376.035	3.040	41782.41153146
296268.640	2779376.878	3.020	41782.41154303
296268.274	2779377.720	3.010	41782.41155461
296267.920	2779378.553	3.030	41782.41156618
296267.529	2779379.416	3.030	41782.41157775
296267.174	2779380.251	3.010	41782.41158933
296266.810	2779381.098	3.030	41782.41160090
296266.432	2779381.947	3.040	41782.41161248
296266.055	2779382.801	3.020	41782.41162405
296265.685	2779383.644	3.040	41782.41163563
296265.306	2779384.490	3.050	41782.41164720
296264.921	2779385.337	3.050	41782.41165877
296264.554	2779386.164	3.050	41782.41167035
296264.192	2779387.017	3.050	41782.41168192
296263.823	2779387.868	3.040	41782.41169350
296263.460	2779388.708	3.050	41782.41170507
296263.074	2779389.537	3.070	41782.41171664
296262.710	2779390.361	3.070	41782.41172822
296262.321	2779391.217	3.060	41782.41173979
296261.954	2779392.052	3.050	41782.41175137
296261.573	2779392.911	3.030	41782.41176294
