296389.159	2779328.612	5.980	41782.43972554
296389.038	2779329.115	6.040	41782.43973712
296388.923	2779329.637	6.030	41782.43974869
296388.795	2779330.152	6.000	41782.43976027
296388.639	2779330.709	6.020	41782.43977184
296388.516	2779331.303	6.020	41782.43978341
296388.385	2779331.840	6.020	41782.43979499
296388.270	2779332.402	5.990	41782.43980656
296388.129	2779332.918	6.050	41782.43981814
296388.007	2779333.458	5.990	41782.43982971
296387.870	2779333.953	6.040	41782.43984128
296387.741	2779334.526	6.020	41782.43985286
296387.610	2779335.086	6.010	41782.43986443
296387.469	2779335.646	6.010	41782.43987601
296387.329	2779336.180	6.010	41782.43988758
296387.188	2779336.703	6.010	41782.43989916
296387.055	2779337.271	5.890	41782.43991073
296386.929	2779337.804	6.030	41782.43992230
296386.798	2779338.386	6.000	41782.43993388
296386.659	2779338.893	6.010	41782.43994545
296386.511	2779339.425	6.010	41782.43995703
296386.372	2779339.935	6.040	41782.43996860
296386.235	2779340.463	5.990	41782.43998017
296386.095	2779340.941	6.010	41782.43999175
296385.951	2779341.454	6.000	41782.44000332
296385.809	2779341.966	6.020	41782.44001490
296385.653	2779342.488	6.030	41782.44002647
296385.515	2779343.055	6.030	41782.44003804
296385.372	2779343.569	6.010	41782.44004962
296385.242	2779344.080	5.990	41782.44006119
296385.083	2779344.525	6.000	41782.44007277
296384.937	2779345.047	6.010	41782.44008434
296384.780	2779345.603	6.030	41782.44009591
296384.639	2779346.131	5.990	41782.44010749
296384.497	2779346.605	6.000	41782.44011906
296384.352	2779347.139	5.980	41782.44013064
296384.212	2779347.607	5.990	41782.44014221
296384.068	2779348.082	5.990	41782.44015378
296383.909	2779348.728	6.000	41782.44016536
296383.774	2779349.209	6.000	41782.44017693
296383.633	2779349.589	5.980	41782.44018851
296383.440	2779350.395	6.030	41782.44020008
296383.277	2779351.151	5.980	41782.44021166
296383.189	2779351.473	-0.010	41782.44022323
296383.024	2779352.176	6.000	41782.44023480
296382.902	2779352.690	6.000	41782.44024638
296382.777	2779353.165	6.010	41782.44025795
296382.652	2779353.639	6.000	41782.44026953
296382.517	2779354.115	6.010	41782.44028110
296382.378	2779354.595	6.020	41782.44029267
296382.227	2779355.081	6.020	41782.44030425
296382.081	2779355.562	6.040	41782.44031582
296381.940	2779356.085	6.000	41782.44032740
296381.785	2779356.583	6.010	41782.44033897
296381.639	2779357.099	6.060	41782.44035054
296381.504	2779357.652	6.010	41782.44036212
296381.349	2779358.143	6.030	41782.44037369
296381.199	2779358.618	6.090	41782.44038527
296381.049	2779359.165	6.040	41782.44039684
296380.884	2779359.639	6.060	41782.44040841
296380.722	2779360.169	6.020	41782.44041999
296380.570	2779360.695	6.050	41782.44043156
296380.423	2779361.186	6.070	41782.44044314
296380.282	2779361.716	6.010	41782.44045471
296380.130	2779362.211	6.050	41782.44046628
296379.973	2779362.737	6.060	41782.44047786
296379.811	2779363.282	6.110	41782.44048943
296379.646	2779363.746	6.100	41782.44050101
296379.476	2779364.289	6.080	41782.44051258
296379.314	2779364.806	6.060	41782.44052416
296379.141	2779365.342	6.030	41782.44053573
296378.981	2779365.865	6.060	41782.44054730
296378.830	2779366.371	6.050	41782.44055888
296378.669	2779366.905	6.010	41782.44057045
296378.513	2779367.431	6.110	41782.44058203
296378.363	2779367.952	6.040	41782.44059360
296378.208	2779368.488	6.020	41782.44060517
296378.047	2779369.013	6.050	41782.44061675
296377.913	2779369.552	6.070	41782.44062832
296377.757	2779370.092	6.030	41782.44063990
296377.604	2779370.626	6.030	41782.44065147
296377.444	2779371.139	6.070	41782.44066304
296377.285	2779371.699	6.030	41782.44067462
296377.109	2779372.211	6.050	41782.44068619
296376.931	2779372.735	6.070	41782.44069777
296376.772	2779373.307	6.040	41782.44070934
296376.617	2779373.828	6.070	41782.44072091
296376.465	2779374.387	6.040	41782.44073249
296376.298	2779374.931	6.040	41782.44074406
296376.135	2779375.480	6.060	41782.44075564
296375.965	2779376.024	6.060	41782.44076721
296375.792	2779376.568	6.060	41782.44077878
296375.634	2779377.097	6.040	41782.44079036
296375.463	2779377.658	6.020	41782.44080193
296375.287	2779378.181	6.110	41782.44081351
296375.131	2779378.777	6.020	41782.44082508
296374.956	2779379.279	6.030	41782.44083666
296374.844	2779379.840	6.020	41782.44084823
296374.807	2779380.327	6.020	41782.44085980
296374.931	2779380.800	5.970	41782.44087138
