X	Y	Z	T
296444.307	2779253.218	6.090	41782.40719118
296443.152	2779253.316	6.080	41782.40720275
296441.884	2779253.437	6.080	41782.40721433
296440.530	2779253.542	6.070	41782.40722590
296439.178	2779253.664	6.060	41782.40723748
296437.849	2779253.816	6.050	41782.40724905
296436.526	2779253.977	6.040	41782.40726062
296435.219	2779254.150	6.030	41782.40727220
296433.908	2779254.351	6.010	41782.40728377
296432.601	2779254.567	6.010	41782.40729535
296431.294	2779254.785	6.000	41782.40730692
296429.995	2779255.018	5.990	41782.40731850
296428.685	2779255.274	5.980	41782.40733007
296427.381	2779255.545	5.980	41782.40734164
296426.092	2779255.810	5.970	41782.40735322
296424.782	2779256.115	5.980	41782.40736479
296423.475	2779256.453	5.960	41782.40737637
296422.174	2779256.794	5.970	41782.40738794
296420.877	2779257.136	5.980	41782.40739951
296419.575	2779257.483	5.960	41782.40741109
296418.286	2779257.828	5.950	41782.40742266
296417.008	2779258.169	5.970	41782.40743424
296415.726	2779258.513	5.970	41782.40744581
296414.454	2779258.831	5.960	41782.40745738
296413.199	2779259.163	5.960	41782.40746896
296411.968	2779259.431	5.970	41782.40748053
296410.713	2779259.721	5.960	41782.40749211
296409.457	2779259.967	5.960	41782.40750368
296408.211	2779260.161	5.960	41782.40751525
296406.963	2779260.311	5.970	41782.40752683
296405.725	2779260.409	5.970	41782.40753840
296404.510	2779260.444	5.970	41782.40754998
296403.307	2779260.405	5.980	41782.40756155
296402.144	2779260.294	5.980	41782.40757312
296401.009	2779260.120	5.990	41782.40758470
296399.913	2779259.905	5.980	41782.40759627
296398.847	2779259.621	5.980	41782.40760785
296397.775	2779259.291	6.000	41782.40761942
296396.722	2779258.894	6.000	41782.40763100
296395.656	2779258.486	5.990	41782.40764257
296394.593	2779258.063	5.980	41782.40765414
296393.529	2779257.616	6.000	41782.40766572
296392.432	2779257.147	6.010	41782.40767729
296391.330	2779256.662	5.990	41782.40768887
296390.208	2779256.193	5.990	41782.40770044
296389.067	2779255.718	5.990	41782.40771201
296387.872	2779255.254	6.000	41782.40772359
296386.662	2779254.773	6.000	41782.40773516
296385.387	2779254.334	5.990	41782.40774674
296384.071	2779253.908	5.980	41782.40775831
296382.730	2779253.484	5.990	41782.40776988
296381.393	2779253.033	6.000	41782.40778146
296380.037	2779252.595	6.000	41782.40779303
296378.689	2779252.159	5.980	41782.40780461
296377.326	2779251.713	5.990	41782.40781618
296375.964	2779251.247	6.010	41782.40782775
296374.627	2779250.740	6.000	41782.40783933
296373.290	2779250.244	5.990	41782.40785090
296371.967	2779249.732	6.000	41782.40786248
296370.665	2779249.192	6.000	41782.40787405
296369.363	2779248.647	5.990	41782.40788562
296368.097	2779248.069	5.990	41782.40789720
296366.815	2779247.494	6.000	41782.40790877
296365.562	2779246.902	5.990	41782.40792035
296364.335	2779246.308	5.990	41782.40793192
296363.129	2779245.690	5.990	41782.40794350
296361.948	2779245.024	5.990	41782.40795507
296360.748	2779244.350	5.990	41782.40796664
296359.568	2779243.677	5.980	41782.40797822
296358.403	2779242.959	5.980	41782.40798979
296357.204	2779242.181	6.000	41782.40800137
296356.020	2779241.336	6.000	41782.40801294
296354.858	2779240.432	6.000	41782.40802451
296353.678	2779239.464	4.310	41782.40803609
296352.484	2779238.388	1.200	41782.40804766
296351.320	2779237.196	5.920	41782.40805924
296350.199	2779235.898	6.580	41782.40807081
296349.119	2779234.505	6.630	41782.40808238
296347.210	2779231.535	6.600	41782.40810553
296346.389	2779229.984	6.650	41782.40811711
296345.690	2779228.360	6.750	41782.40812868
296345.081	2779226.673	6.740	41782.40814025
296344.497	2779225.040	6.800	41782.40815183
296343.939	2779223.576	0.030	41782.40816340
296343.447	2779222.244	6.850	41782.40817498
296343.027	2779221.034	6.840	41782.40818655
296342.683	2779219.922	6.890	41782.40819812
296342.402	2779218.905	6.920	41782.40820970
296342.184	2779217.986	6.970	41782.40822127
296342.021	2779217.162	7.030	41782.40823285
296341.862	2779216.425	6.910	41782.40824442
296341.769	2779215.757	6.960	41782.40825600
296341.726	2779215.134	0.030	41782.40826757
296341.721	2779214.580	6.900	41782.40827914
296341.676	2779214.074	6.960	41782.40829072
296341.657	2779213.638	6.900	41782.40830229
296341.616	2779213.250	6.920	41782.40831387
296341.564	2779212.910	6.980	41782.40832544
296341.540	2779212.611	6.980	41782.40833701
296341.532	2779212.344	6.920	41782.40834859
296341.508	2779212.113	6.940	41782.40836016
296341.459	2779211.911	7.120	41782.40837174
296341.420	2779211.755	6.930	41782.40838331
296341.387	2779211.629	7.060	41782.40839488
296341.357	2779211.541	6.930	41782.40840646
296341.321	2779211.455	6.940	41782.40841803
296341.279	2779211.361	6.930	41782.40842961
296341.234	2779211.263	6.930	41782.40844118
296341.186	2779211.166	6.930	41782.40845275
296341.128	2779211.058	6.940	41782.40846433
296341.065	2779210.953	6.930	41782.40847590
296340.980	2779210.836	6.930	41782.40848748
296340.887	2779210.731	6.920	41782.40849905
296340.798	2779210.636	6.930	41782.40851062
296340.673	2779210.556	-0.010	41782.40852220
296340.574	2779210.498	6.940	41782.40853377
296340.426	2779210.458	6.950	41782.40854535
296340.287	2779210.440	6.930	41782.40855692
296340.164	2779210.447	6.970	41782.40856850
296340.009	2779210.461	6.980	41782.40858007
296339.889	2779210.523	6.640	41782.40859164
296339.770	2779210.594	6.960	41782.40860322
296339.654	2779210.644	6.960	41782.40861479
296339.529	2779210.702	6.980	41782.40862637
296339.407	2779210.795	6.970	41782.40863794
296339.299	2779210.905	7.000	41782.40864951
296339.187	2779211.027	6.990	41782.40866109
296339.118	2779211.178	-0.020	41782.40867266
296339.037	2779211.369	6.920	41782.40868424
296338.986	2779211.584	6.890	41782.40869581
296338.891	2779211.785	6.620	41782.40870738
296338.824	2779212.009	6.990	41782.40871896
296338.745	2779212.253	7.040	41782.40873053
296338.637	2779212.504	7.000	41782.40874211
296338.571	2779212.781	6.980	41782.40875368
296338.486	2779213.056	6.950	41782.40876525
296338.394	2779213.339	6.920	41782.40877683
296338.245	2779213.631	6.980	41782.40878840
296338.184	2779213.966	6.940	41782.40879998
296338.088	2779214.302	6.950	41782.40881155
296337.967	2779214.638	6.940	41782.40882312
296337.861	2779214.973	6.980	41782.40883470
296337.734	2779215.319	7.010	41782.40884627
296337.620	2779215.680	6.970	41782.40885785
296337.497	2779216.039	7.010	41782.40886942
296337.362	2779216.419	6.940	41782.40888100
296337.222	2779216.791	6.990	41782.40889257
296337.046	2779217.177	6.970	41782.40890414
296336.916	2779217.578	6.970	41782.40891572
296336.746	2779217.962	7.030	41782.40892729
296336.620	2779218.369	6.980	41782.40893887
296336.423	2779218.773	6.370	41782.40895044
296336.278	2779219.161	6.990	41782.40896201
296336.121	2779219.583	7.060	41782.40897359
296335.793	2779220.446	6.990	41782.40899674
296335.616	2779220.879	6.970	41782.40900831
296335.444	2779221.323	6.950	41782.40901988
296335.274	2779221.779	7.010	41782.40903146
296335.108	2779222.244	7.000	41782.40904303
296334.942	2779222.720	6.950	41782.40905461
296334.766	2779223.187	6.970	41782.40906618
296334.585	2779223.663	6.990	41782.40907775
296334.411	2779224.121	-0.020	41782.40908933
296334.232	2779224.607	6.920	41782.40910090
296334.048	2779225.095	7.000	41782.40911248
296333.852	2779225.582	-0.010	41782.40912405
296333.672	2779226.079	6.930	41782.40913562
296333.486	2779226.583	7.060	41782.40914720
296333.299	2779227.086	7.010	41782.40915877
296333.108	2779227.601	6.950	41782.40917035
296332.918	2779228.111	-0.010	41782.40918192
296332.113	2779230.203	1.810	41782.40922822
296331.696	2779231.276	0.010	41782.40925137
296331.490	2779231.821	0.010	41782.40926294
296331.272	2779232.366	0.010	41782.40927451
296331.044	2779232.921	0.010	41782.40928609
296330.828	2779233.470	0.010	41782.40929766
296330.591	2779234.019	0.020	41782.40930924
296330.384	2779234.569	0.010	41782.40932081
296329.655	2779236.283	0.010	41782.40935553
296329.010	2779238.036	-0.010	41782.40939025
296328.758	2779238.625	0.010	41782.40940183
296328.564	2779239.196	2.050	41782.40941340
296328.305	2779239.776	-0.020	41782.40942498
296328.024	2779240.341	-0.020	41782.40943655
296327.796	2779240.915	-0.010	41782.40944812
296327.264	2779242.080	-0.010	41782.40947127
296326.977	2779242.682	0.010	41782.40948285
296326.711	2779243.266	0.010	41782.40949442
296326.140	2779244.465	0.020	41782.40951757
296325.864	2779245.072	0.020	41782.40952914
296325.566	2779245.699	0.010	41782.40954072
296325.302	2779246.306	0.010	41782.40955229
296325.004	2779246.896	0.020	41782.40956387
296324.689	2779247.512	0.010	41782.40957544
296324.405	2779248.124	0.010	41782.40958701
296324.106	2779248.760	0.020	41782.40959859
296323.257	2779250.646	0.010	41782.40963331
296322.979	2779251.275	0.020	41782.40964488
296322.687	2779251.916	0.010	41782.40965646
296322.083	2779253.190	1.720	41782.40967961
296321.789	2779253.831	0.020	41782.40969118
296321.510	2779254.463	0.010	41782.40970275
296320.640	2779256.419	0.010	41782.40973748
296320.062	2779257.727	2.240	41782.40976062
296319.486	2779259.055	2.250	41782.40978377
296319.188	2779259.732	2.260	41782.40979535
296318.893	2779260.412	0.010	41782.40980692
296318.612	2779261.084	2.260	41782.40981850
296318.009	2779262.459	0.010	41782.40984164
296317.398	2779263.862	2.270	41782.40986479
296316.797	2779265.253	2.290	41782.40988794
296316.498	2779265.959	-0.010	41782.40989951
296316.218	2779266.668	2.270	41782.40991109
296315.631	2779268.096	2.260	41782.40993424
296315.332	2779268.816	2.340	41782.40994581
296315.032	2779269.528	2.330	41782.40995738
296314.445	2779270.930	2.150	41782.40998053
296313.855	2779272.375	-0.010	41782.41000368
296313.001	2779274.530	-0.010	41782.41003840
296312.442	2779276.009	0.020	41782.41006155
296311.889	2779277.471	-0.010	41782.41008470
296311.618	2779278.192	0.010	41782.41009627
296311.350	2779278.909	0.010	41782.41010785
296311.073	2779279.636	-0.010	41782.41011942
296310.516	2779281.095	0.020	41782.41014257
296309.989	2779282.553	-0.010	41782.41016572
296309.705	2779283.296	0.020	41782.41017729
296309.455	2779284.017	2.040	41782.41018887
296309.182	2779284.746	2.080	41782.41020044
296308.913	2779285.477	2.100	41782.41021201
296308.628	2779286.220	1.530	41782.41022359
296308.356	2779286.954	2.080	41782.41023516
296308.074	2779287.685	2.060	41782.41024674
296307.776	2779288.417	1.530	41782.41025831
296307.492	2779289.151	2.050	41782.41026988
296307.226	2779289.902	2.040	41782.41028146
296306.959	2779290.660	2.050	41782.41029303
296306.690	2779291.423	2.020	41782.41030461
296306.399	2779292.150	2.030	41782.41031618
296306.102	2779292.882	2.030	41782.41032775
296305.805	2779293.613	2.020	41782.41033933
296305.547	2779294.353	2.040	41782.41035090
296305.254	2779295.103	2.030	41782.41036248
296304.983	2779295.832	2.020	41782.41037405
296304.661	2779296.589	2.020	41782.41038563
296304.346	2779297.329	2.040	41782.41039720
296304.055	2779298.085	1.540	41782.41040877
296303.757	2779298.838	-0.010	41782.41042035
296303.472	2779299.580	1.550	41782.41043192
296303.167	2779300.343	2.030	41782.41044350
296302.839	2779301.085	2.040	41782.41045507
296302.525	2779301.840	2.040	41782.41046664
296302.215	2779302.601	2.040	41782.41047822
296301.901	2779303.362	1.500	41782.41048979
296301.577	2779304.127	2.060	41782.41050137
296301.252	2779304.879	0.010	41782.41051294
296300.925	2779305.629	2.080	41782.41052451
296300.591	2779306.372	1.530	41782.41053609
296300.273	2779307.136	1.520	41782.41054766
296299.971	2779307.892	2.060	41782.41055924
296299.640	2779308.646	2.070	41782.41057081
296299.308	2779309.375	2.040	41782.41058238
296298.936	2779310.132	2.070	41782.41059396
296298.613	2779310.885	2.060	41782.41060553
296298.264	2779311.673	2.070	41782.41061711
296297.936	2779312.428	1.530	41782.41062868
296297.601	2779313.183	1.510	41782.41064025
296297.248	2779313.947	2.030	41782.41065183
296296.886	2779314.718	1.500	41782.41066340
296296.532	2779315.484	2.040	41782.41067498
296296.187	2779316.256	0.010	41782.41068655
296295.495	2779317.790	2.020	41782.41070970
296295.099	2779318.552	2.050	41782.41072127
296294.738	2779319.320	2.040	41782.41073285
296294.369	2779320.105	2.010	41782.41074442
296294.008	2779320.888	2.000	41782.41075600
296293.641	2779321.679	2.000	41782.41076757
296293.285	2779322.475	1.980	41782.41077914
296292.918	2779323.269	1.980	41782.41079072
296292.545	2779324.071	2.000	41782.41080229
296292.175	2779324.849	1.990	41782.41081387
296291.806	2779325.632	1.990	41782.41082544
296291.441	2779326.421	2.070	41782.41083701
296291.077	2779327.214	2.260	41782.41084859
296290.734	2779328.000	1.500	41782.41086016
296289.591	2779330.379	-0.010	41782.41089488
296288.850	2779332.024	2.850	41782.41091803
296288.468	2779332.849	3.010	41782.41092961
296288.103	2779333.662	3.070	41782.41094118
296287.715	2779334.482	3.090	41782.41095275
296287.335	2779335.281	3.090	41782.41096433
296286.953	2779336.081	3.080	41782.41097590
296286.556	2779336.896	3.080	41782.41098748
296286.180	2779337.702	3.080	41782.41099905
296285.791	2779338.549	3.090	41782.41101063
296285.410	2779339.381	3.090	41782.41102220
296285.023	2779340.209	3.080	41782.41103377
296284.633	2779341.034	3.080	41782.41104535
296284.262	2779341.848	2.710	41782.41105692
296283.879	2779342.682	3.080	41782.41106850
296283.491	2779343.508	3.090	41782.41108007
296283.100	2779344.329	3.090	41782.41109164
296282.711	2779345.166	3.080	41782.41110322
296282.341	2779346.001	2.520	41782.41111479
296281.964	2779346.838	2.680	41782.41112637
296281.588	2779347.658	3.100	41782.41113794
296281.213	2779348.490	3.080	41782.41114951
296280.847	2779349.324	-0.010	41782.41116109
296280.486	2779350.155	3.130	41782.41117266
296280.115	2779350.998	3.080	41782.41118424
296279.745	2779351.823	3.040	41782.41119581
296279.369	2779352.656	3.130	41782.41120738
296279.014	2779353.467	3.050	41782.41121896
296278.654	2779354.285	3.050	41782.41123053
296278.287	2779355.111	3.040	41782.41124211
296277.923	2779355.941	3.050	41782.41125368
296277.553	2779356.778	3.040	41782.41126525
296277.181	2779357.590	3.050	41782.41127683
296276.812	2779358.411	3.040	41782.41128840
296276.438	2779359.242	3.040	41782.41129998
296276.084	2779360.062	3.040	41782.41131155
296275.712	2779360.908	3.070	41782.41132313
296275.360	2779361.727	3.050	41782.41133470
296274.982	2779362.572	3.030	41782.41134627
296274.590	2779363.413	3.040	41782.41135785
296274.233	2779364.235	3.040	41782.41136942
296273.851	2779365.104	3.060	41782.41138100
296273.494	2779365.940	3.040	41782.41139257
296273.113	2779366.792	3.050	41782.41140414
296272.736	2779367.624	3.050	41782.41141572
296272.370	2779368.450	3.050	41782.41142729
296271.985	2779369.294	3.050	41782.41143887
296271.624	2779370.128	3.050	41782.41145044
296271.251	2779370.973	3.060	41782.41146201
296270.877	2779371.829	3.040	41782.41147359
296270.519	2779372.650	2.950	41782.41148516
296270.129	2779373.505	3.040	41782.41149674
296269.760	2779374.333	3.020	41782.41150831
296269.379	2779375.191	3.020	41782.41151988
296269.008	2779376.035	3.040	41782.41153146
296268.640	2779376.878	3.020	41782.41154303
296268.274	2779377.720	3.010	41782.41155461
296267.920	2779378.553	3.030	41782.41156618
296267.529	2779379.416	3.030	41782.41157775
296267.174	2779380.251	3.010	41782.41158933
296266.810	2779381.098	3.030	41782.41160090
296266.432	2779381.947	3.040	41782.41161248
296266.055	2779382.801	3.020	41782.41162405
296265.685	2779383.644	3.040	41782.41163563
296265.306	2779384.490	3.050	41782.41164720
296264.921	2779385.337	3.050	41782.41165877
296264.554	2779386.164	3.050	41782.41167035
296264.192	2779387.017	3.050	41782.41168192
296263.823	2779387.868	3.040	41782.41169350
296263.460	2779388.708	3.050	41782.41170507
296263.074	2779389.537	3.070	41782.41171664
296262.710	2779390.361	3.070	41782.41172822
296262.321	2779391.217	3.060	41782.41173979
296261.954	2779392.052	3.050	41782.41175137
296261.573	2779392.911	3.030	41782.41176294
296261.206	2779393.759	3.040	41782.41177451
296260.843	2779394.600	3.040	41782.41178609
296260.471	2779395.449	3.060	41782.41179766
296260.099	2779396.289	3.050	41782.41180924
296259.699	2779397.135	3.050	41782.41182081
296259.327	2779397.975	3.040	41782.41183238
296258.944	2779398.831	3.060	41782.41184396
296258.578	2779399.675	3.050	41782.41185553
296258.205	2779400.527	4.050	41782.41186711
296257.829	2779401.371	4.060	41782.41187868
296257.444	2779402.216	4.070	41782.41189025
296257.054	2779403.076	4.070	41782.41190183
296256.686	2779403.927	4.060	41782.41191340
296256.313	2779404.785	4.070	41782.41192498
296255.943	2779405.620	4.070	41782.41193655
296255.550	2779406.454	3.530	41782.41194813
296255.142	2779407.294	4.050	41782.41195970
296254.758	2779408.141	4.080	41782.41197127
296254.363	2779409.006	4.080	41782.41198285
296253.984	2779409.840	4.050	41782.41199442
296253.605	2779410.691	4.100	41782.41200600
296253.229	2779411.595	4.330	41782.41201757
296252.871	2779412.464	3.610	41782.41202914
296252.500	2779413.321	4.190	41782.41204072
296252.114	2779414.174	0.010	41782.41205229
296251.361	2779415.868	-0.010	41782.41207544
296250.621	2779417.568	0.010	41782.41209859
296250.261	2779418.427	0.010	41782.41211016
