X	Y	Z	T
296450.13400000,2779231.35000000,-6.66000000,584.68862880
296450.13100000,2779231.36100000,-6.70333333,585.15530400
296450.12600000,2779231.37200000,-6.60654540,585.72197280
296450.12500000,2779231.37400000,-6.61000000,585.73863360
296449.98300000,2779232.16900000,-6.61000000,585.75529439
296340.00900000,2779210.46100000,-7.00000000,588.35530080
296339.88900000,2779210.52300000,-6.88945562,588.37196160
296339.52900000,2779210.70200000,-7.00000000,588.42197280
296339.40700000,2779210.79500000,-7.02148201,588.43863360
296339.29900000,2779210.90500000,-6.99685193,588.45529440
296339.18700000,2779211.02700000,-7.07000000,588.47196960
296339.03700000,2779211.36900000,-6.98000000,588.50530560
296338.98600000,2779211.58400000,-6.97000000,588.52196640
296338.89100000,2779211.78500000,-6.66000000,588.53862719
296338.82400000,2779212.00900000,-6.99413021,588.55530240
296338.74500000,2779212.25300000,-7.08000000,588.57196320
296338.63700000,2779212.50400000,-6.97333333,588.58863840
296338.57100000,2779212.78100000,-6.98036354,588.60529920
296338.39400000,2779213.33900000,-6.95760560,588.63863520
296338.24500000,2779213.63100000,-6.96314807,588.65529599
296338.18400000,2779213.96600000,-6.96654549,588.67197120
296338.08800000,2779214.30200000,-6.95000000,588.68863200
296337.96700000,2779214.63800000,-6.93260271,588.70529280
296337.86100000,2779214.97300000,-6.96000000,588.72196800
296337.73400000,2779215.31900000,-6.99000000,588.73862880
296337.62000000,2779215.68000000,-6.97000000,588.75530400
296337.49700000,2779216.03900000,-6.97727233,588.77196481
296337.36200000,2779216.41900000,-6.94666667,588.78864000
296337.22200000,2779216.79100000,-6.97057169,588.80530080
296337.04600000,2779217.17700000,-6.95654549,588.82196160
296336.91600000,2779217.57800000,-6.94500000,588.83863680
296336.74600000,2779217.96200000,-6.96055540,588.85529760
296336.62000000,2779218.36900000,-6.95672726,588.87197280
296336.42300000,2779218.77300000,-6.31000000,588.88863361
296336.27800000,2779219.16100000,-6.95708315,588.90529440
296336.12100000,2779219.58300000,-7.04000000,588.92196960
296335.79300000,2779220.44600000,-6.99000000,588.95530560
296335.61600000,2779220.87900000,-6.97654549,588.97196640
296335.44400000,2779221.32300000,-6.97648140,588.98862720
296335.10800000,2779222.24400000,-7.00000000,589.02196320
296334.94200000,2779222.72000000,-6.99654540,589.03863840
296334.58500000,2779223.66300000,-7.01314820,589.07196000
296334.23200000,2779224.60700000,-6.96000000,589.10529600
296334.04800000,2779225.09500000,-7.04000000,589.12197120
296333.67200000,2779226.07900000,-6.95000000,589.15529280
296333.48600000,2779226.58300000,-7.04666667,589.17196800
296333.29900000,2779227.08600000,-7.03618195,589.18862880
296200.02700000,2779528.75300000,-5.80148201,595.65529440
296199.62800000,2779529.61400000,-5.87000000,595.67196960
296199.23100000,2779530.50300000,-5.87000000,595.68863040
296198.82500000,2779531.36100000,-5.88000000,595.70530560
296198.41400000,2779532.24800000,-5.99833259,595.72196640
296198.00900000,2779533.13600000,-6.00000000,595.73862720
296197.61500000,2779534.00700000,-5.99000000,595.75530240
296197.20700000,2779534.92400000,-6.00629640,595.77196320
296196.79000000,2779535.77900000,-6.02000000,595.78863840
296196.37300000,2779536.68600000,-6.04000000,595.80529920
296195.96000000,2779537.58300000,-6.00648153,595.82196000
296195.55400000,2779538.50100000,-6.00000000,595.83863520
296195.14800000,2779539.42300000,-6.01309098,595.85529600
296194.74500000,2779540.31400000,-6.03500000,595.87197120
296194.33400000,2779541.25200000,-6.06000000,595.88863200
296193.95300000,2779542.14300000,-6.12000000,595.90530720
296193.54000000,2779543.06400000,-6.15333333,595.92196800
296193.14200000,2779544.00300000,-6.14690902,595.93862880
296192.74500000,2779544.91200000,-6.13000000,595.95530400
296192.34000000,2779545.85800000,-6.16000000,595.97196480
296191.93400000,2779546.80500000,-6.14753424,595.98864000
296191.53000000,2779547.73700000,-6.12666667,596.00530080
296191.13100000,2779548.65900000,-6.14204698,596.02196160
296190.71600000,2779549.62700000,-6.16327270,596.03863680
296190.30400000,2779550.59300000,-6.21000000,596.05529760
296189.89700000,2779551.51400000,-6.31246576,596.07197280
296189.48500000,2779552.50500000,-6.36333333,596.08863360
296189.07800000,2779553.38700000,-6.39259280,596.10529440
296188.66400000,2779554.37000000,-6.39981823,596.12196960
296188.25600000,2779555.35700000,-6.42000000,596.13863040
296187.84600000,2779556.33600000,-6.35753424,596.15530560
296187.44200000,2779557.29700000,-6.34690920,596.17196640
296187.02300000,2779558.25400000,-6.28472230,596.18862720
296186.60500000,2779559.20700000,-6.19753426,596.20530240
296186.17800000,2779560.16800000,-6.16000000,596.22196320
296185.76500000,2779561.10700000,-6.06753426,596.23863840
296185.34000000,2779562.08200000,-6.04654540,596.25529920
296184.93100000,2779563.04900000,-6.03082188,596.27196000
296184.52600000,2779564.01000000,-6.09685184,596.28863520
296184.11000000,2779564.95000000,-6.27000000,596.30529600
296183.68700000,2779565.94000000,-6.30000000,596.32197120
296183.26900000,2779566.89600000,-6.33654549,596.33863200
296182.85400000,2779567.87700000,-6.36000000,596.35529280
296182.43800000,2779568.84200000,-6.38000000,596.37196800
296182.02300000,2779569.85000000,-6.39000000,596.38862880
296181.59700000,2779570.78900000,-6.44000000,596.40530400
296181.16000000,2779571.79500000,-6.48333239,596.42196480
296180.74300000,2779572.75600000,-6.41672726,596.43864000
296180.32400000,2779573.74700000,-6.41000000,596.45530080
296179.89700000,2779574.72900000,-6.40654540,596.47196160
296179.48500000,2779575.68200000,-6.42500000,596.48863680
296179.06300000,2779576.67100000,-6.42685180,596.50529760
